"event_name","group","date","category"
"Team ""So What"" weekly meeting Essex, Bergen, Hudson, Passaic, Morris Counties","by Mens Team Meetup - Northern NJ - NY Stateicon4.8","Every Tue • Dec 9 · 7:30 PM EST","Health Wellbeing"
"Team ""Sushi Ninjas"" weekly meeting Bergen, Hudson, Passaic, Essex Counties NJ","by Mens Team Meetup - Northern NJ - NY Stateicon4.8","Every Mon • Dec 8 · 7:30 PM EST","Health Wellbeing"
"Pure Mind, Pure World: The Practice of Vajrasattva","by Kadampa Meditation Center Brooklyn","Sat, Dec 6 · 11:00 AM EST","Health Wellbeing"
"Team ""Listen Jack"" Morris, Somerset, Essex, Bergen Counties","by Mens Team Meetup - Northern NJ - NY Stateicon4.8","Every two weeks on Mon • Dec 15 · 7:30 PM EST","Health Wellbeing"
"Basic Pranic Healing","by Pranic Healing Classes & Meditation Groupsicon4.9","Sat, Dec 6 · 6:00 PM EST","Health Wellbeing"
"Meditation of the Light of the Most High","by Meditation of the Light of the Most Highicon4.8","Every Wed • Dec 10 · 6:00 PM EST","Health Wellbeing"
"The Gift of Equanimity","by Buddhist Meditation & Study Groupicon4.8","Thu, Dec 4 · 6:30 PM EST","Health Wellbeing"
"A Portal Between Heaven & Earth - With David Young","by Energy Healers NYCicon4.8","Sun, Dec 14 · 5:00 PM EST","Health Wellbeing"
"Tai Chi & Qigong - an hour of calm and quiet","by Tai Chi & Qigong Exercise - Get back to yourselficon4.9","Every Sat • Dec 6 · 12:30 PM EST","Health Wellbeing"
"Slow Flow Yoga","by Onyx & Om: Black Women Do Yoga","Every Mon • Dec 8 · 6:30 PM EST","Health Wellbeing"
"Team ""Flying Lorenzos"" Weekly meeting Bergen Hudson Passaic counties","by Mens Team Meetup - Northern NJ - NY Stateicon4.8","Every Mon • Dec 8 · 8:00 PM EST","Health Wellbeing"
"Exercise Science Article Review (& Coffee!)","by R.E.P.S. (Researchers in Exercise Performance & Science)","Sat, Dec 6 · 1:00 PM EST","Health Wellbeing"
"Body and Mind Healing and Movement","by NYC Body and Mind Healing Group","Tue, Dec 9 · 6:00 PM EST","Health Wellbeing"
"Attend Meditation for Health and Well-being","by Meditation of the Light of the Most Highicon4.8","Monthly • Tue, Dec 16 · 8:00 PM EST","Health Wellbeing"
"Stop Overthinking, Start Speaking - Confidence Training for Real Conversations","by Body Language Training | New Yorkicon4.6","Mon, Dec 8 · 7:30 PM EST","Health Wellbeing"
"All Street Media Club","by ALL STREET GALLERY","Every two weeks on Wed • Dec 17 · 6:00 PM EST","Health Wellbeing"
"Open Level Yoga","by Onyx & Om: Black Women Do Yoga","Every Sun • Dec 7 · 9:00 AM EST","Health Wellbeing"
"Fry, Fry Baby: Air-fryer Tips and Tricks Nutrition Workshop","by Department of Parks & Recreation: Health & Wellness Programsicon4.3","Tue, Dec 16 · 6:00 PM EST","Health Wellbeing"
"Breathe & Release In The Salt Cave (Crystal Bowl Soundbath) Hybrid","by Saltscape Wellness Center Community","Sun, Dec 7 · 7:30 PM EST","Health Wellbeing"
"Holistic Movie Night: eMotion","by Saltscape Wellness Center Community","Sat, Dec 6 · 7:30 PM EST","Health Wellbeing"
"Tu voz interior importa — Encuentro de Conversación y Conexión","by HABLA Y SANA – Grupo Emocional en NY (Formato Español)","Sat, Dec 13 · 9:00 AM EST","Health Wellbeing"
"Water Body Wisdom: Sacred Streams","by Saltscape Wellness Center Community","Sun, Dec 7 · 2:00 PM EST","Health Wellbeing"
"Daily Meditation","by The Meditation Centericon4.4","Every Mon, Tue, Wed, Thu, Fri • Dec 4 · 6:30 PM EST","Health Wellbeing"
"Gentle Dance Movement Classes (In-person & on Zoom)","by Love, Happiness & Success NYCicon4.7","Every Fri • Dec 12 · 12:00 PM EST","Health Wellbeing"
"Trust Your Vibes: Intuition & Oracle Workshop","by Saltscape Wellness Center Community","Sat, Dec 6 · 2:00 PM EST","Health Wellbeing"
"Gentle Dance Movement Classes (In-person & on Zoom)","by Meditation - Balancing Inner & Outer Worldsicon5.0","Every Fri • Dec 5 · 12:00 PM EST","Health Wellbeing"
"Scavenger Hunt of Connection & Adventure ~ Donation based FUNdRaiser","by Mind & Body NYCicon4.6","Sat, Dec 13 · 2:00 PM EST","Health Wellbeing"
"Women’s Healing Freedom Circle","by Women’s Healing & Freedom Circle","Every two weeks on Sun • Dec 7 · 12:00 PM EST","Health Wellbeing"
"Hypnotherapy for Depression","by Clinical Hypnotherapy and Meditation Meetup Groupicon4.8","Every Mon • Dec 8 · 7:00 PM EST","Health Wellbeing"
"Chakra Clearing & Alignment","by HFSC Online Distant Healing Circleicon4.7","Fri, Dec 5 · 7:00 PM EST","Health Wellbeing"
"Balancing masculine and feminine","by Self-awareness and mindfulness class - onlineicon4.6","Thu, Dec 4 · 8:00 PM EST","Health Wellbeing"
"Evolving Together: Honouring What’s Ended, Envisioning What’s Next","by Building the New Earth - Unlocking Our Potential Togethericon4.9","Mon, Dec 8 · 7:00 PM EST","Health Wellbeing"
"Handle Your Feelings During the Holidays: Tools for Emotional Management","by Build On Your Strengths: Workshops for Your Well-Beingicon4.7","Thu, Dec 18 · 7:00 PM EST","Health Wellbeing"
"Letting Go to Find God","by Letting Go Workshopsicon4.4","Thu, Dec 4 · 6:30 PM EST","Health Wellbeing"
"Is Your Past Ruining Your Life? Learn How to Let Go & Move On!","by End Stress, Self-Doubt & Painful Relationships – Cleveland Oicon3.5","Mon, Dec 8 · 7:00 PM EST","Health Wellbeing"
"Ask The Sleep Science Guy","by Club Sleepwellicon4.8","Thu, Dec 4 · 8:00 PM EST","Health Wellbeing"
