"event_name","group","date","category"
"SWITZERLAND – Geneva to Zurich Highlights","by Jersey City - Bucket List Group Travel","Sun, Dec 7 · 7:00 PM EST","Traveling Outdoor"
"Snow Trip: Belleayre Mountain 12/14","by Outyork Adventures: Hikes in Upstate New York and Beyondicon4.8","Sun, Dec 14 · 6:10 AM EST","Traveling Outdoor"
"Christmas Walk in NYC 12/20","by Outyork Adventures: Hikes in Upstate New York and Beyondicon4.8","Sat, Dec 20 · 4:45 PM EST","Traveling Outdoor"
"Paint In Central Park - A Bucket List Event","by Fun Events in NYC (12,000+ members)icon4.6","Every Sun • Dec 14 · 1:00 PM EST","Traveling Outdoor"
"Pack Like a Pro: Travel Tips, Must-Haves & Morning Tea ✈️☕","by The Tea of Travel, Women Who Travel Solo Groupicon4.7","Fri, Dec 5 · 11:00 AM EST","Traveling Outdoor"
"South Africa June 2026 Group Trip 2 Itinerary info session! Join Us!","by Join our International Travel Group Tripsicon5.0","Thu, Dec 4 · 8:00 PM EST","Traveling Outdoor"
"Solo Savvy Travel: Confidence and Safety","by Love to Travel?  Travel & Tourism Global Communityicon4.5","Monthly • Thu, Dec 11 · 7:00 PM EST","Traveling Outdoor"
"12/17/25 Grand Canyon Trip Review - Zoom","by Medallion Hiking, Adventure, and Booksicon4.8","Wed, Dec 17 · 7:00 PM CST","Traveling Outdoor"
"Virtual Hiking and Backpacking Planning with Caltopo","by Sierra Club | Kansas City | Backpacking | Hiking | Serviceicon4.8","Wed, Dec 10 · 6:30 PM CST","Traveling Outdoor"
"Share Your Favorite Outdoor Technology!","by Weekly Presentation – Minnesota Rovers Outdoors Clubicon4.7","Tue, Dec 9 · 7:00 PM CST","Traveling Outdoor"
"🎄 Germany Christmas Markets Journey - December 5-12, 2025","by Atlanta Women Travel: Explore the World, Build Connectionsicon4.1","Fri, Dec 5 · 7:00 AM EST","Traveling Outdoor"
"How Travel Transforms Us — Confidence, Clarity & Courage","by The Tea of Travel, Women Who Travel Solo Groupicon4.7","Fri, Dec 12 · 11:00 AM EST","Traveling Outdoor"
"Morocco Hiking Trip 2026 Zoom Informational Call","by Destination Hike, LLC®: Local & Travel Hiking and Campingicon4.8","Tue, Dec 9 · 6:00 PM EST","Traveling Outdoor"
"Friday morning virtual ride with Rouvy","by LVCC Ride Calendaricon4.9","Every Fri • Dec 5 · 9:30 AM EST","Traveling Outdoor"
"Sip, Chat & See the World","by Step Away Solo Travel Network- Midwest Chaptericon4.8","Sun, Dec 14 · 4:00 PM EST","Traveling Outdoor"
"✈️ Angelic Exquisite Travel Experience: Saturday Social Zoom Chats","by Angelic Exquisite Travel -  Luxury Escapes & Cultural Travel","Sat, Dec 6 · 12:00 PM EST","Traveling Outdoor"
"Monthly Meeting and Social","by Bucket List Travelersicon4.4","Monthly • Thu, Dec 11 · 4:30 PM EST","Traveling Outdoor"
"Tea for Travel: From “I Want To” → “I AM”  A Night of Inspired Intention","by The Tea of Travel, Women Who Travel Solo Groupicon4.7","Tue, Dec 9 · 7:00 PM EST","Traveling Outdoor"
"Travel Lounge - Tips, Stories, Cruises, Discussions, etc","by Garry’s DMV Travel Lounge","Every two weeks on Wed • Dec 10 · 6:30 PM EST","Traveling Outdoor"
"France Travel Class with Bold Spirit Travel","by Houston Bold Travel Womenicon4.2","Tue, Dec 16 · 12:00 PM CST","Traveling Outdoor"
