"event_name","group","date","category"
"Gotham Go Group - Tuesdays at the Hungarian","by Gotham Go Groupicon4.8","Every Tue • Dec 9 · 5:00 PM EST","Games"
"Saturday Euchre","by NYC Euchre Clubicon4.8","Sat, Dec 6 · 4:00 PM EST","Games"
"Online board game event","by Grand Prairie Board Gamesicon5.0","Every Sun • Dec 7 · 11:00 AM CST","Games"
"Gotham Go Group at Barnes and Noble Cafe 3rd floor, Union Square, Sundays","by Gotham Go Groupicon4.8","Every Sun • Dec 7 · 12:00 PM EST","Games"
"Ladies Game Night! Card games, party games, and more!","by Online LADIES game nights Philadelphia - make new friends!icon4.8","Every Thu, Sat • Dec 4 · 9:00 PM EST","Games"
"Tuesday Night Weekly Game Night - Forest Hills Edition","by Queens Board Gamers Groupicon4.9","Every Tue • Dec 9 · 6:00 PM EST","Games"
"D&D 5E - D&D in NYC Weekly Campaign","by Brooklyn Boardgame Social @ Squarrelicon4.8","Every Wed • Dec 10 · 7:00 PM EST","Games"
"Boardgames at Flushing Hyatt","by Queens Board Gamers Groupicon4.9","Every Sat • Dec 6 · 1:00 PM EST","Games"
"Board Games at QED Astoria!","by Astoria Board Game Clubicon4.9","Sat, Dec 20 · 12:00 PM EST","Games"
"NYCYDC - Promotional House Cup Monthly Tournament","by New York City Yugioh Dueling Club (18+)icon4.9","Monthly • Sat, Dec 27 · 2:00 PM EST","Games"
"Blood on the Clocktower Online","by Grand Prairie Board Gamesicon5.0","Every Sun • Dec 7 · 2:00 PM CST","Games"
"Friday night games at Panera","by Hoboken Board Games Meetupicon4.9","Every Fri • Dec 5 · 6:30 PM EST","Games"
"Tuesday Night Kinky Gamers Mixer","by NYC Plays Gamesicon3.8","Every Tue • Dec 9 · 7:00 PM EST","Games"
"Saturday Euchre","by NYC Euchre Clubicon4.8","Sat, Dec 13 · 4:00 PM EST","Games"
"Beer, Food, Friends and Chess at Nemo's Beer Shop in Forest Hills, Queens","by Beer, Food, Friends and Chess at Nemo's Beer Shopicon5.0","Every Thu • Dec 4 · 6:00 PM EST","Games"
"Open Gaming Night on Discord","by g3 Games (and Gatherings)icon4.8","Tue, Dec 9 · 7:00 PM CST","Games"
"Game Night, Back In Person!","by Astoria Board/Card Games Meetupicon4.6","Monthly • Thu, Dec 25 · 6:30 PM EST","Games"
"Let's Play Spades and Socialize ♠️ ONLINE","by 302 & More Spades Meetup Groupicon4.7","Every two weeks on Sat • Dec 6 · 6:00 PM EST","Games"
"Dungeons and Dragons Thursday (Beginner Friendly)","by Hoboken Dungeons & Dragons Meetupicon4.7","Every Thu • Dec 4 · 7:00 PM EST","Games"
"Sunday Afternoon of Uno and More!","by Sunday Uno and More!icon3.2","Every Sun • Dec 7 · 3:00 PM EST","Games"
"Dungeons and Dragons Tuesday (Beginner Friendly)","by Hoboken Dungeons & Dragons Meetupicon4.7","Every Tue • Dec 9 · 7:00 PM EST","Games"
"Boardgame Event at Squarrel, Brooklyn","by Brooklyn Boardgame Social @ Squarrelicon4.8","Every Sun • Dec 7 · 4:00 PM EST","Games"
"Drunk Dungeons & Dragons","by Brooklyn Dungeons and Dragons Meetupicon5.0","Every Sat • Dec 6 · 7:00 PM EST","Games"
"Tabletop Game Night","by Brooklyn Strategist Evening Events Meetupicon4.7","Every Sat • Dec 6 · 7:00 PM EST","Games"
"♣ Learn & Play Social Poker Night ♣","by Austin Sociale Online Poker Clubicon5.0","Every Sun, Mon, Tue, Wed, Thu, Fri, Sat • Dec 4 · 9:00 PM CST","Games"
"Dungeons and Dragons Saturday Nights (Beginner Friendly)","by Hoboken Dungeons & Dragons Meetupicon4.7","Every Sat • Dec 6 · 7:00 PM EST","Games"
"Teaching/Learning Crokinole at Brooklyn Game Knight in Industry City!","by Brooklyn Crokinole Clubicon5.0","Sat, Dec 6 · 6:00 PM EST","Games"
"1/3 NO-LIMIT HOLD'EM ($15 CAPPED MAX RAKE) ASTORIA, QUEENS","by Astoria Poker Club NYC","Every Sun, Mon, Tue, Wed, Thu, Fri, Sat • Dec 4 · 6:00 PM EST","Games"
"Dungeons and Dragons Saturday (Beginner Friendly)","by Hoboken Dungeons & Dragons Meetupicon4.7","Every Sat • Dec 6 · 1:00 PM EST","Games"
"Pokemon Swap Meet","by Hoboken Pokémon Swap Meet","Sun, Dec 14 · 10:00 AM EST","Games"
"Friday MTG Commander / Lorcana","by NYC Plays Gamesicon3.8","Every Fri • Dec 5 · 5:00 PM EST","Games"
"""Lowest Rate"" 1/3 NLH ($100min-$500max) MIDTOWN CLUBHOUSE","by FISH TANK NYC POKER- Midtown Manhattan","Every Sun, Mon, Tue, Wed, Thu, Fri, Sat • Dec 4 · 6:00 PM EST","Games"
"NYC Poker Night – Meet, Play & Connect","by NYC Poker Nights – Social & Fun Play","Every Sun, Mon, Tue, Wed, Thu, Fri, Sat • Dec 4 · 10:00 PM EST","Games"
"Sunday Funday EDH/Commander","by NYC Plays Gamesicon3.8","Every Sun • Dec 7 · 3:00 PM EST","Games"
"Queer D&D Night","by Brooklyn Dungeons and Dragons Meetupicon5.0","Every Thu • Dec 4 · 7:00 PM EST","Games"
"Dungeons & Dragons","by Brooklyn Dungeons and Dragons Meetupicon5.0","Every Wed • Dec 10 · 7:00 PM EST","Games"
