"event_name","group","date","category"
"Plants Out of Place: Communicating Effectively About Invasive Species","by Licking County Ohio Gardening Meetupicon4.6","Tue, Dec 9 · 12:00 PM EST","Community Environment"
"Protect wetlands and other opportunities to comment","by NC Sierra Club--Headwaters Groupicon4.7","Mon, Dec 8 · 7:00 PM EST","Community Environment"
"Grow Charm City: Hands-On Indoor Food Gardening Building Workshop (w/AI!)","by Baltimore Indoor Gardening Meetup Groupicon4.7","Monthly • Sat, Dec 20 · 7:00 PM EST","Community Environment"
"Carl Jung's Red Book Series: The Inner Journey (Live Discussion)","by Third Space Cooperativeicon4.9","Every Mon • Dec 8 · 8:00 PM EST","Community Environment"
"Hydro-Powered Charm: Indoor Food Growing Hydroponics 101 Meetup","by Baltimore Indoor Gardening Meetup Groupicon4.7","Monthly • Sun, Dec 21 · 7:00 PM EST","Community Environment"
"DC Chapter Clean Energy Committee Meeting","by Sierra Club DC Chaptericon4.8","Monthly • Tue, Dec 16 · 6:30 PM EST","Community Environment"
"DC Chapter Clean Water Committee Meeting","by Sierra Club DC Chaptericon4.8","Monthly • Wed, Dec 17 · 6:30 PM EST","Community Environment"
"ACCOUNTABILITY CIRLCE","by Third Space Cooperativeicon4.9","Every Mon • Dec 8 · 12:00 PM EST","Community Environment"
"Denver Indoor Garden Intro Class","by Denver Indoor Gardening Meetup Groupicon4.3","Monthly • Fri, Dec 19 · 5:00 PM MST","Community Environment"
"🎮 Sunday Game Night!","by Third Space Cooperativeicon4.9","Sun, Dec 7 · 7:00 PM EST","Community Environment"
"🌟Heart-to-Heart: A Safe Space for Empaths and HSPs (Final Gathering of 2025)","by Third Space Cooperativeicon4.9","Wed, Dec 10 · 8:00 PM EST","Community Environment"
"2026 Indoor Food Gardening Recap + Growing Plan: Get Ready to Grow!","by Indoor Gardening with Lights Meetup Groupicon4.6","Sat, Dec 27 · 7:00 PM EST","Community Environment"
"Unlocking Homeownership: Why Rent When You Can Buy?","by Home Buyer Journey: From Renters to Owners","Every Mon • Dec 8 · 12:30 PM EST","Community Environment"
"NoCoPPAN Chapter Meeting","by People and Pollinators Action Networkicon4.7","Monthly • Wed, Dec 10 · 4:00 PM MST","Community Environment"
"Webinar:  The Climate and Fiscal Case for Fossil Fuel Divestment in Illinois","by 350 Chicago Meetup (Climate Change Activist Group)icon4.8","Thu, Dec 11 · 6:00 PM CST","Community Environment"
