"event_name","group","date","category"
"Voice Tapestry Circle","by Voice Tapestry Circle","Sat, Dec 20 · 2:00 PM EST","Music"
"a shrimp fried rave","by BASS NYC by plur.nyc","Sat, Dec 13 · 10:00 PM EST","Music"
"Voices of Gotham -- Weekly Rehearsal","by Voices of Gotham Chorusicon5.0","Every Thu • Dec 4 · 7:00 PM EST","Music"
"Weekly Music Sharing Session","by Music Junkiesicon4.9","Every two weeks on Wed • Dec 17 · 8:00 PM EST","Music"
"African Djembe Drumming Class","by Live African music and drumming events in NJ","Every Mon, Wed, Fri • Dec 5 · 7:30 PM EST","Music"
"Naada Live","by Naada Meetup Group","Sat, Dec 6 · 7:00 PM EST","Music"
"December Practice Session (Online only)","by Toronto Amateur Pianist Recitalicon4.9","Sun, Dec 14 · 7:00 PM EST","Music"
"Music Listening Night","by Music Listening Groupicon4.8","Mon, Dec 15 · 7:00 PM EST","Music"
"Danno's Online Ukulele Show and Tell -","by Ukulele Union of Bostonicon4.9","Every Sat • Dec 6 · 7:00 PM EST","Music"
"Songwriting  & Recording  ` From Start To Finish""","by ReadyToSing Online Singing & Songwriting Classesicon4.7","Every Sun • Dec 7 · 6:00 PM EST","Music"
"Improve Your Singing - Basic Vocal Techniques Class","by ReadyToSing Online Singing & Songwriting Classesicon4.7","Every Sun • Dec 7 · 1:00 PM EST","Music"
"Songwriters Open Mic Ann Arbor: Anything Goes (cover songs or originals)","by Songwriters Open Mic Ann Arboricon4.8","Tue, Dec 9 · 7:30 PM EST","Music"
"No theme open sing","by New Jersey karaoke groupicon4.9","Sun, Dec 7 · 1:00 PM EST","Music"
"Vocal Improvisation Techniques - Riffing, Scatting & Song Styling","by ReadyToSing Online Singing & Songwriting Classesicon4.7","Every Wed • Dec 10 · 1:00 PM EST","Music"
"Vocal Improvisation Techniques - Riffing, Scatting & Song Styling","by Vocal Improvisation - Riffing, Scatting and Song Stylingicon4.9","Every Sat • Dec 6 · 11:00 AM EST","Music"
"SongCircle! Tuesday Evening Virtual SOJO (No. 203) 12-9-2025, 7:00pm","by The DC Area SOJO (Sing Out Jam Out)icon4.8","Tue, Dec 9 · 7:00 PM EST","Music"
"Watch Party: Christmas Cantata 63 in Rehearsal","by Bach: Coffee and Cantataicon4.9","Sun, Dec 21 · 10:00 AM EST","Music"
