"event_name","group","date","category"
"🎥 Brooklyn Anime & Gaming's Film Club – Movie Night! 🍿","by Brooklyn Anime & Gaming Meetup Groupicon5.0","Monthly • Sat, Dec 6 · 7:00 PM EST","Hobbies Passions"
"December Book Club","by Prosecco and Proseicon4.9","Sun, Dec 21 · 12:30 PM EST","Hobbies Passions"
"Writers Meetup & Critique @OUTRO NYC - Bring pages from your screenplay","by skillca.mp NYCicon4.6","Monthly • Sat, Dec 6 · 1:00 PM EST","Hobbies Passions"
"Snowflake Pattern Workshop","by Online Crochet Classes (Beginner to Advanced)icon4.7","Sat, Dec 6 · 2:00 PM EST","Hobbies Passions"
"WTF (Weekly Tuesday Folders)","by OMG NYC (Origami Meetup Group! NYC)icon4.9","Every Tue • Dec 9 · 6:30 PM EST","Hobbies Passions"
"Happy Birthday Jane!","by Jane Austen Meetup NYC- For Janeites and Newbies Alike!icon4.9","Tue, Dec 16 · 7:00 PM EST","Hobbies Passions"
"Italian film: One Hundred Steps (I cento passi) + Q&A","by 50s+ Foreign Film Fansicon4.5","Mon, Dec 8 · 6:40 PM EST","Hobbies Passions"
"Yarn Swap Fundraiser at Cleo’s!","by Manhattan Fiber Artistsicon4.8","Sat, Dec 6 · 5:00 PM EST","Hobbies Passions"
"Star Wars: The Last Jedi","by Marvel Rewatch and Discussion Groupicon4.8","Thu, Dec 4 · 7:00 PM EST","Hobbies Passions"
"Our 11th Annual Holiday Book Grab-Bag!","by The Millennialish Book Clubicon4.8","Sun, Dec 7 · 4:30 PM EST","Hobbies Passions"
"Persuasion by Jane Austen","by Jane Austen Meetup NYC- For Janeites and Newbies Alike!icon4.9","Thu, Dec 11 · 7:00 PM EST","Hobbies Passions"
"124TH FN last event of 2025, great cast TV Heat of the day, 1989, and bonus","by International zoom Film Noir discussion Groupicon4.9","Wed, Dec 10 · 12:01 PM EST","Hobbies Passions"
"Last F1 race of the season is the Abu Dhabi Grand Prix","by NYC Car Enthusiastsicon4.8","Sun, Dec 7 · 7:30 AM EST","Hobbies Passions"
"Let’s Read and Discuss The Shining by Stephen King","by Haunted Spines: NYC Horror Book Clubicon5.0","Sat, Jan 3, 2026 · 11:00 AM EST","Hobbies Passions"
"Crochet Smoky Mountain Bear Toy- Online Class!","by Online Crochet Classes (Beginner to Advanced)icon4.7","Sun, Dec 7 · 2:00 PM EST","Hobbies Passions"
"Discuss My Name is Emilia del Valle by Isabel Allende","by Newark Book Club & Brunch Meetupicon4.9","Sat, Dec 13 · 12:30 PM EST","Hobbies Passions"
