"event_name","group","date","category"
"Monday Morning Memoirs","by Green Mountain Writers Group on Zoomicon4.8","Monthly • Sat, Dec 13 · 11:00 AM EST","Writing"
"Writers' Hangout","by Worldwide Writers Associationicon4.7","Sun, Dec 21 · 9:00 AM EST","Writing"
"Prompt Writing Night","by Madison West Writers Groupicon4.8","Thu, Dec 18 · 5:15 PM EST","Writing"
"Monday December 15th Poetry Preserves","by Poetry Preserves A Poetry Writing Groupicon4.8","Every Thu • Dec 4 · 7:30 PM EST","Writing"
"Productivity for Writers + Creatives: An ADHD-Friendly Workshop","by Writers + Creatives Collectiveicon5.0","Every Thu • Dec 4 · 7:00 PM EST","Writing"
"Memoir/Creative Nonfiction Critique Group","by Evanston Writers Workshopicon4.7","Monthly • Sun, Dec 28 · 12:00 PM EST","Writing"
"Poetry for Your Soul Virtual Open Write: Let's Ignite Your Words","by Poetry for Your Soul Virtuous Virtual Open Micicon4.8","Thu, Dec 4 · 7:00 PM EST","Writing"
"Writers Night at Richland Park Library - VIRTUAL ONLY!","by The Nashville Writers Meetupicon4.7","Sat, Dec 20 · 5:00 PM EST","Writing"
"Online Check In and Write","by Round Rock Writers Guildicon4.9","Every Sat • Dec 6 · 3:00 PM EST","Writing"
"Writer's Night","by Writer's Cornericon3.1","Every Thu • Dec 4 · 7:00 PM EST","Writing"
"Writer Spotlight & Feedback Hour","by Prolific Writers Life • JAXicon4.8","Monthly • Fri, Dec 19 · 8:00 PM EST","Writing"
"Online Event: Shut Up & Write on Zoom 10 AM ET","by Shut Up & Write!® Washington, D.C. Areaicon4.8","Tue, Dec 16 · 5:30 PM EST","Writing"
"Friday Mini-Marathon (Act III, drop-ins welcome!)","by Online Creative Collectiveicon4.9","Every Sun • Dec 7 · 10:00 AM EST","Writing"
"Shut Up & Write!® [Video Call]","by Shut Up & Write!® Fort Collinsicon4.9","Every Wed • Dec 10 · 6:30 PM EST","Writing"
"December Monthly Craft Workshop","by San Antonio Writers Guild Meetings - SAWGicon5.0","Every Sun • Dec 7 · 12:00 PM EST","Writing"
