"event_name","group","date","category"
"How to Build a Startup With Zero Funding","by Cleveland Networking and Business Strategy Meetup Group","Tue, Dec 9 · 6:00 PM EST","New Group"
"🥐🌱 Vegan Brunch + Vintage Crawl + Sweet Treats in NYC","by Vegan Bites City Lights - New York","Sun, Dec 14 · 11:30 AM EST","New Group"
"Narcissistic Abuse Recovery Therapy Group","by Narcissistic Abuse Recovery: Psychotherapy Group","Every Tue • Dec 16 · 5:00 PM EST","New Group"
"Narcissistic Abuse Recovery Therapy Group","by Narcissistic Abuse Recovery: Psychotherapy Group","Every Wed • Dec 17 · 1:00 PM EST","New Group"
"Narcissistic Abuse Recovery Therapy Group","by Narcissistic Abuse Recovery: Psychotherapy Group","Every Wed • Dec 17 · 11:30 AM EST","New Group"
"Meet and Greet","by Good Times Because Time Flies","Fri, Dec 19 · 11:00 AM EST","New Group"
"Figure drawing at Third Door","by Figure Drawing at Third Door Brooklyn","Thu, Dec 4 · 7:00 PM EST","New Group"
"Free Real Estate Photography Workshop","by RebookMedia Photography Workshops","Sat, Dec 6 · 10:00 AM EST","New Group"
"Entrepreneurs, Executives, & Other Senior Leadership","by Entrepreneurs, Executives & Senior Leadership Group","Every Tue • Dec 9 · 1:00 PM EST","New Group"
"Remote Work Revolution | 14 Days to Financial Freedom","by Nomadic Careers Global Explorers Group","Sat, Dec 13 · 2:00 PM CST","New Group"
"Coworking at Bar Freda","by Bi-monthly Coworking at Bar Freda","Every two weeks on Wed • Dec 17 · 6:30 PM EST","New Group"
"1/1 NLH - POKER- court square-  near trader Joe's long Island city","by 5pointz Poker club","Every Mon, Wed, Fri • Dec 5 · 7:00 PM EST","New Group"
"MoMA PS1 – Queens","by LGBTQIA+ Meetup in Queens 👑","Sun, Dec 14 · 1:00 PM EST","New Group"
"hudson","by rnnm.com   rnnq.com","Every Wed • Dec 17 · 11:45 AM EST","New Group"
"Randall's Island 11v11 (limited guest spots)","by NYC 11v11 Korean Soccer Club | 뉴욕 11v11 한국 축구 클럽","Sun, Dec 14 · 7:00 AM EST","New Group"
"Candlelight Christmas Vegan Escape at QC Spa – Governors Island","by Vegan Bites City Lights - New York","Sat, Dec 13 · 3:30 PM EST","New Group"
"Exercise Science Article Review (& Coffee!)","by R.E.P.S. (Researchers in Exercise Performance & Science)","Sat, Dec 6 · 1:00 PM EST","New Group"
"Girls Night: Studio Edition✨🎙️💕","by Girls Night: STUDIO EDITION✨💕🎙️🩵","Fri, Dec 5 · 10:00 PM EST","New Group"
"Digital Nomad Academy: 14 Days to Location Freedom","by Globe Trotting Remote Work Tribe","Sat, Dec 13 · 1:00 PM MST","New Group"
"MoMA Free Friday Night - Ruth Asawa Retrospective & More","by Broke People Arts & Culture Club","Fri, Dec 19 · 5:30 PM EST","New Group"
"Women's Business Networking Mixer","by Besties in the City!","Sun, Dec 7 · 3:00 PM EST","New Group"
"Digital Nomad Academy: 14 Days to Location Freedom","by Globe Trotting Remote Work Tribe","Sat, Dec 6 · 4:00 PM MST","New Group"
"Blood, Boundaries & Beyond: Navigating Family Estrangement & Alienation","by Blood, Boundaries & Beyond: Family Estrangement & Alienation","Every Mon • Dec 8 · 12:00 PM EST","New Group"
"Weekly Social Walk (20s–30s)","by Bayside Weekly Walkers","Every Sat • Dec 6 · 1:00 PM EST","New Group"
"The No Duds Failure Hour","by No Duds Improv","Fri, Dec 5 · 6:00 PM EST","New Group"
"Authenticity vs Approval","by Intellectual Discussionsicon4.6","Sun, Dec 7 · 6:00 PM PST","New Group"
"DREAMA Acting Lab in NYC","by DREAMA Acting Lab in NYC","Every Mon • Dec 8 · 6:00 PM EST","New Group"
"Creative Writing in Harlem","by Creative Writing in West Harlem","Sun, Dec 7 · 10:15 AM EST","New Group"
"Free Trivia Competition with Prizes in Hoboken, NJ","by Hoboken Live Trivia League Meetup Group","Every Wed • Dec 10 · 7:00 PM EST","New Group"
"I KNEW THEN: The Men’s Circle—Unpack. Reflect. Connect.","by I KNEW THEN: The Men's Circle—Unpack. Reflect. Connect","Monthly • Thu, Dec 18 · 7:00 PM EST","New Group"
