"event_name","group","date","category"
"Drop In Improv Class. Best In Improv.  8pm-10pm ET (Pay what you can)","by New York Improv games, classes, shows and improv jamsicon4.8","Every Thu • Dec 4 · 8:00 PM EST","Art Entertainment"
"Monday Night Figure Drawing (host Simon)","by Drawing New Yorkicon4.9","Mon, Dec 8 · 6:30 PM EST","Art Entertainment"
"Variety open mic Thursday 9pm @ Producer’s club! Music, comedy and poetry!","by New York Open Mic Meetup Group at the Producer’s clubicon4.9","Every Thu • Dec 4 · 9:00 PM EST","Art Entertainment"
"Annual Art-full Afternoon with Alvin Ailey + Brunch","by Women of Culture NYCicon4.8","Sun, Dec 14 · 12:00 PM EST","Art Entertainment"
"Sew and Socialize at the Castle in Fort Totten","by Bayside Historical Society Open Sew at The Castleicon4.9","Sun, Dec 14 · 1:00 PM EST","Art Entertainment"
"Instructed Figure Drawing","by Drawing New Yorkicon4.9","Fri, Dec 12 · 6:30 PM EST","Art Entertainment"
"Hidden Stories of Abstraction with ArtsClub","by Women of Culture NYCicon4.8","Fri, Dec 5 · 6:30 PM EST","Art Entertainment"
"Artist Roundtable","by Boulder Art Associationicon4.9","Every Sat • Dec 6 · 11:00 AM MST","Art Entertainment"
"Musical Theater Workshop","by BK Musical Theater Workshopicon5.0","Sun, Dec 7 · 3:00 PM EST","Art Entertainment"
"Open mic comedy Sunday thru Tuesday beginning 5pm","by New York Open Mic Meetup Group at the Producer’s clubicon4.9","Every Tue • Dec 9 · 5:00 PM EST","Art Entertainment"
"Figure drawing at Third Door","by Figure Drawing at Third Door Brooklyn","Thu, Dec 4 · 7:00 PM EST","Art Entertainment"
"Sunday OPEN mic 4pm & 5pm
***First 4 slots FREE!  Sign up @ Producer’s club!","by New York Open Mic Meetup Group at the Producer’s clubicon4.9","Every Sun • Dec 7 · 4:00 PM EST","Art Entertainment"
"Sip and Paint a Pet Portrait Fun- Barking Dog New York","by New York Pets and Fun Paint Party Meetup","Every Thu, Fri • Dec 12 · 5:30 PM EST","Art Entertainment"
"Friday Night Instructed Figure Drawing","by Drawing Brooklynicon4.9","Fri, Jan 2, 2026 · 6:30 PM EST","Art Entertainment"
"Pups and Pints Paint a Pet Portrait Fun- DBA East village","by New York Pets and Fun Paint Party Meetup","Every Sun • Dec 7 · 1:30 PM EST","Art Entertainment"
"Drawing Prompt: Pearls","by Pittsburgh Sketching Meetup Groupicon4.8","Every Mon • Dec 8 · 5:30 PM EST","Art Entertainment"
"Paint Your Pet Portrait... at Boris and Horton Dogs Welcome!","by New York Pets and Fun Paint Party Meetup","Monthly • Tue, Dec 16 · 5:30 PM EST","Art Entertainment"
"Saturday Drop-in Figure Figure Drawing","by Drawing Brooklynicon4.9","Sat, Jan 3, 2026 · 12:00 PM EST","Art Entertainment"
"MoMA Free Friday Night - Ruth Asawa Retrospective & More","by Broke People Arts & Culture Club","Fri, Dec 19 · 5:30 PM EST","Art Entertainment"
"Shut Up & Create Mondays","by Shut Up and Paint Onlineicon4.9","Every Mon • Dec 8 · 11:15 AM EST","Art Entertainment"
"Saturday Figure Drawing (host Jeff)","by Drawing New Yorkicon4.9","Sat, Jan 3, 2026 · 12:00 PM EST","Art Entertainment"
"Sunday Long Pose - Figure Drawing (host Jeff)","by Drawing New Yorkicon4.9","Sun, Dec 21 · 12:00 PM EST","Art Entertainment"
"Sip and Paint Party at the Barking DOG- Pet Portrait FUN","by New York Dogs & Paint Your Pet Meetup","Every Thu, Fri • Dec 5 · 5:30 PM EST","Art Entertainment"
"The No Duds Failure Hour","by No Duds Improv","Fri, Dec 5 · 6:00 PM EST","Art Entertainment"
"Spolin. Close, Fey, Poehler & The Expansion of Improv. Improv Workshop","by IMPROV 4 ALLicon4.8","Every Thu • Dec 4 · 8:00 PM EST","Art Entertainment"
"Let’s look at and discuss art the Whitney","by Art Exploration in NYC","Fri, Dec 5 · 3:00 PM EST","Art Entertainment"
"Speed Dating Event In Brooklyn","by NYC Art Meetupicon4.2","Every Wed • Dec 10 · 7:30 PM EST","Art Entertainment"
"Monday Night Figure Drawing (host Simon)","by Drawing New Yorkicon4.9","Mon, Dec 22 · 6:30 PM EST","Art Entertainment"
"Sip and Paint Party at Boris and Horton- Pet Portrait FUN","by New York Dogs & Paint Your Pet Meetup","Monthly • Wed, Dec 17 · 5:30 PM EST","Art Entertainment"
"Pups and Pints Paint Pet Portrait Fun Party- DBA East village","by New York Dogs & Paint Your Pet Meetup","Every Sun • Dec 21 · 1:30 PM EST","Art Entertainment"
"*ONLINE* Best Friends & Belly Laughs COMMUNITY IMPROV!","by ImprovATXicon4.9","Every Wed • Dec 10 · 7:00 PM CST","Art Entertainment"
"AIGANY Holiday Night Market","by AIGANY","Wed, Dec 10 · 6:30 PM EST","Art Entertainment"
"Uncover What’s In Your Way: Group RIM (Regenerating Images in Memory)","by NOVA Scribesicon4.8","Thu, Dec 18 · 6:00 PM EST","Art Entertainment"
"On-line Wednesday Sketching Practice Group","by Global Sketching Practice Groupicon4.8","Every Wed • Dec 10 · 7:30 PM EST","Art Entertainment"
"Shut Up & Paint Online Thursdays","by Shut Up and Paint Onlineicon4.9","Every Thu • Dec 11 · 11:00 AM EST","Art Entertainment"
"Creative Friday mornings","by Shut Up and Paint Onlineicon4.9","Every Fri • Dec 5 · 11:15 AM EST","Art Entertainment"
"Connect with Storytelling Workshop","by Storymasters Toastmasters Clubicon4.6","Every Sat • Dec 6 · 11:00 AM EST","Art Entertainment"
"Please do 2-4 tasks from Week 9: Recovering a Sense of Compassion","by The Artist Way; A Spiritual Path to Higher Creativityicon4.6","Every Sun • Dec 7 · 4:00 PM CST","Art Entertainment"
"Virtual Meetup","by NYC Drawing Meetup!icon4.8","Every Mon • Dec 8 · 7:00 PM EST","Art Entertainment"
"Sunday Morning Mess","by Shut Up and Paint Onlineicon4.9","Every Sun • Dec 7 · 10:30 AM EST","Art Entertainment"
"The Power of Purpose: Facilitation for Ambiguity and Change with Rae Ringel","by NOVA Scribesicon4.8","Thu, Dec 11 · 12:00 PM EST","Art Entertainment"
"Online Improv Games","by Quarantine Improvicon4.7","Every two weeks on Fri • Dec 5 · 8:00 PM EST","Art Entertainment"
"Intent-Based Leadership with Doug Hensch","by NOVA Scribesicon4.8","Tue, Dec 9 · 6:00 PM EST","Art Entertainment"
"Arts & Craft Workshop - Expressionism and more","by The Women's Art Lounge","Mon, Dec 8 · 6:00 PM EST","Art Entertainment"
"A royal house in Florence: the Pitti Palace Virtual Tour","by Italy Virtual Tours: Art, Culture & Beauty - New Yorkicon4.6","Wed, Dec 10 · 1:00 PM EST","Art Entertainment"
"The Medici Family: Rise of a Florentine Dynasty – Part I","by Italy Virtual Tours: Art, Culture & Beauty - New Yorkicon4.6","Tue, Dec 9 · 1:00 PM EST","Art Entertainment"
"Online Improv Games","by Quarantine Improvicon4.7","Every Tue • Dec 9 · 7:00 PM EST","Art Entertainment"
"Ravenna Virtual Tour – the Capital of Mosaics","by Italy Virtual Tours: Art, Culture and Beauty - Philadelphiaicon4.6","Mon, Dec 15 · 12:00 PM EST","Art Entertainment"
"Christmas in Verona: Virtual Walk Through the City of Love","by Italy Virtual Tours: Art, Culture and Beauty - Philadelphiaicon4.6","Fri, Dec 12 · 11:30 AM EST","Art Entertainment"
"Fun W/Improv Class/Jam","by New York Improv games, classes, shows and improv jamsicon4.8","Every two weeks on Sat • Dec 6 · 11:00 AM EST","Art Entertainment"
