"event_name","group","date","category"
"B.R.A.V.E 5 Week Trauma Recovery Series - WEEK 3 Allow Your Feelings","by Greensboro Leaving Traumaland Meetup Group","Tue, Dec 16 · 7:00 PM EST","Support Coaching"
"Fairfax Adult ADHD Support Group","by CHADD of Northern Virginia and DCicon4.6","Every Sun • Dec 7 · 1:00 PM EST","Support Coaching"
"Will It Ever Go Back to Normal? Redefining What ‘Normal’ Means","by Accepting Estrangement: Navigating Family Disconnectionicon5.0","Thu, Dec 4 · 7:30 PM EST","Support Coaching"
"10 Things You Should Know About Breakups & Divorce","by Breakup and Relationship Support and Connection Groupicon4.4","Fri, Dec 12 · 12:00 PM EST","Support Coaching"
"ADHD and AuADHD: Diagnosis, Treatments and Support - Tues, Dec 9, 7:00 - 8:30pm","by Central PA ADHD Support Group - Children & Adults with ADHDicon4.6","Tue, Dec 9 · 7:00 PM EST","Support Coaching"
"Holiday Stress & ADHD: Surviving (and Enjoying) the Holidays with ADHD","by Adults with ADHD - Education Groupicon4.5","Mon, Dec 8 · 1:00 PM EST","Support Coaching"
"A Workshop to Get Rid of the Negative Thoughts and Emotions","by Self Analysis Group DCicon4.0","Tue, Dec 9 · 7:00 PM EST","Support Coaching"
"OCD Fellowship And Support","by Hope For Recovery -  Virtual OCD Fellowshipicon4.7","Sun, Dec 7 · 8:00 PM EST","Support Coaching"
"The Untethered Soul Circle","by Midlife Awakening Collectiveicon4.9","Tue, Dec 16 · 7:00 PM EST","Support Coaching"
"How does your subconscious mind taunt you?  find out here.","by Divorce or Breakup Meetup, Washington DCicon3.8","Wed, Dec 10 · 7:00 PM EST","Support Coaching"
"Ace Voices: Learn about yourself, Share your experiences, Bond with others","by Ace Voicesicon4.7","Every Sun • Dec 7 · 8:00 PM EST","Support Coaching"
"Shellbusters Toastmasters Club Meeting","by Becoming Confident Speakersicon4.8","Fri, Dec 12 · 6:45 PM EST","Support Coaching"
"Peer Support Group for Adults with Autism","by Kipekee (Unique in Swahili)icon4.7","Every two weeks on Sun • Dec 7 · 4:00 PM EST","Support Coaching"
