"event_name","group","date","category"
"HOLIDAY DANCE PARTY, DEC 5th - MAYWOOD NJ","by Dancing Meetup - North Jerseyicon4.8","Fri, Dec 5 · 7:00 PM EST","Dancing"
"Group Motion Workshop Friday December 12 on zoom!","by Group Motion Workshops","Fri, Dec 12 · 7:00 PM EST","Dancing"
"AfroDance at Broadway Dance Center | NOT FREE","by Hip Hop and AfroDance NYCicon4.6","Every Sat • Dec 6 · 6:30 PM EST","Dancing"
"Sensual Bachata Fridays!","by Sensual Movement New York","Every Fri • Dec 5 · 9:00 PM EST","Dancing"
"AfroDance at Ailey Extension | available ONLINE | NOT FREE","by Hip Hop and AfroDance NYCicon4.6","Every Fri • Dec 5 · 7:00 PM EST","Dancing"
"Roofchata Wednesdays - Bachata on the Rooftop!","by Sensual Movement New York","Every Wed • Dec 10 · 9:00 PM EST","Dancing"
"TUESDAY NIGHT BACHATA CLASS   - MAYWOOD NJ","by Dancing Meetup - North Jerseyicon4.8","Every Tue • Dec 9 · 7:00 PM EST","Dancing"
"Aszmara's Remember the Joy Belly Dance Online Class","by NYC Bellydance Meetup!icon4.7","Every Tue • Dec 9 · 12:00 PM EST","Dancing"
"Tango En El Barrio","by ""Argentine Tango Indoors & Outdoors Events in NYC""icon4.9","Every Thu • Dec 4 · 7:00 PM EST","Dancing"
"Beginning Group Salsa Lessons","by Lyndhurst Salsa Meetup","Every Wed • Dec 10 · 7:30 PM EST","Dancing"
"Learn How to Line Dance - Beginner/Improver Night at JK Shuffles!!","by All Line dancing in CT and NY - Learn how to line dance!icon5.0","Every Mon • Dec 8 · 7:00 PM EST","Dancing"
"TheOpen Level  Mindful Movement Middle Eastern Dance Class","by NYC Bellydance Meetup!icon4.7","Every Wed • Dec 10 · 1:30 PM EST","Dancing"
"Aszmara's Emotion In Motion Online Class","by NYC Bellydance Meetup!icon4.7","Every Tue • Dec 9 · 7:30 PM EST","Dancing"
"Tuesday Tango and Milonga group classes in NYC","by Tango Date NYCicon4.8","Every Tue • Dec 9 · 6:00 PM EST","Dancing"
"SharQui® — the Bellydance Workout Level 2","by NYC Bellydance Meetup!icon4.7","Every Fri • Dec 12 · 7:00 PM EST","Dancing"
"Basic Bellydance Technique & Combinations","by NYC Bellydance Meetup!icon4.7","Every Tue • Dec 9 · 6:00 PM EST","Dancing"
"WOMEN'S DANCE & EXERCISE CLASS - HACKENSACK NJ","by Dancing Meetup - North Jerseyicon4.8","Every Sat • Dec 6 · 10:00 AM EST","Dancing"
"🌟 Dance-Tasting TUESDAYS: Salsa styling, Hustle, Tango! (2 weeks each)","by 🌟🌟🌟🌟🌟 Latin Social Dancing for FUN in Bergen Countyicon4.5","Every Tue • Dec 9 · 7:30 PM EST","Dancing"
"SharQui® — the Bellydance Workout","by NYC Bellydance Meetup!icon4.7","Every Mon • Dec 15 · 6:00 PM EST","Dancing"
"🌟💃🏿🌟 CLUB-STYLE Salsa, Bachata & Merengue BOOTCAMPS","by 🌟🌟🌟🌟🌟 Latin Social Dancing for FUN in Bergen Countyicon4.5","Every Thu • Dec 4 · 7:00 PM EST","Dancing"
"Big Deal Casino New Year's Pre-Game","by Prohibition Night","Wed, Dec 31 · 6:30 PM EST","Dancing"
"Maestro Jon Tariq’s Book is out & available on Amazon Get your copy online today","by Tango Date NYCicon4.8","Every Thu • Dec 4 · 8:00 PM EST","Dancing"
"🌟🌟🌟 Roaring 20's Latin-Dance Event (Class & Practice PARTY)","by 🌟🌟🌟🌟🌟 Latin Social Dancing for FUN in Bergen Countyicon4.5","Thu, Dec 18 · 7:30 PM EST","Dancing"
"🌟 CLUB SALSA & Rueda :  Spins, Dips, and Tricks","by 🌟🌟🌟🌟🌟 Latin Social Dancing for FUN in Bergen Countyicon4.5","Every Tue • Dec 9 · 8:30 PM EST","Dancing"
"Argentine Tango group class | Beginner Level","by NYC Argentine Tango","Every Tue • Dec 9 · 7:00 PM EST","Dancing"
"Bongo Loco's Toda La Noche","by Salsa Dance NYC Students & Teachers Meetupicon4.8","Monthly • Sat, Dec 6 · 7:00 PM EST","Dancing"
"Victoria's Friday Milonga","by NYC Argentine Tango","Every Fri • Dec 5 · 7:30 PM EST","Dancing"
"Basic Bellydance Technique & Combinations","by NYC Bellydance Meetup!icon4.7","Every Sun • Dec 7 · 2:00 PM EST","Dancing"
"Fitzgerald Falls Hiking Tour","by Tango Date NYCicon4.8","Monthly • Sat, Dec 20 · 9:00 AM EST","Dancing"
"TUESDAY NIGHT BACHATA CLASS   - MAYWOOD NJ","by Dancing Meetup - North Jerseyicon4.8","Tue, Dec 23 · 7:00 PM EST","Dancing"
