"event_name","group","date","category"
"FRIDAY 8:00 AM Soccer 11v11 - $5 Brooklyn Pier 5 (NO CLEATS)","by Feel Good Soccer (Co-ed NYC, Brooklyn, & Queens)icon4.9","Fri, Dec 5 · 8:00 AM EST","Sports Exercise Leisure"
"Dodgeball BoHo Karaoke","by NYC Dodgeball and Other Social funsies!icon4.9","Mon, Dec 15 · 9:00 PM EST","Sports Exercise Leisure"
"Season 15 Week 1","by Polar Bear CoEd Pickup Softballicon4.8","Sat, Dec 6 · 10:00 AM EST","Sports Exercise Leisure"
"Meet Sunday to Play Some Footy","by Park Slope Soccer and a Pinticon4.9","Every Sun • Dec 7 · 2:30 PM EST","Sports Exercise Leisure"
"Founders Running Club :: New York","by Founders Running Club :: New Yorkicon5.0","Every Sat • Dec 6 · 9:00 AM EST","Sports Exercise Leisure"
"Free 3 Mile Weekly Walk in Central Park - Every Saturday!","by Central Park NYC Ever Walkicon4.8","Every Sat • Dec 6 · 10:00 AM EST","Sports Exercise Leisure"
"$5 Sunday Morning Pick Up!","by Socceroof LIC (Pickup, Events and more...)icon4.3","Every Sun • Dec 7 · 7:00 AM EST","Sports Exercise Leisure"
"Bridge Practice (Intermediate)","by NYC Rollerbladersicon4.8","Sat, Dec 13 · 10:00 AM EST","Sports Exercise Leisure"
"⚽️✨🌙@Chelsea Waterside 🥅Master League (Advanced football Session- INVITE ONLY)","by ⚽️NYC Advanced/Elite Soccer Community by Hudson River FCicon4.9","Every Sun • Dec 7 · 3:40 PM EST","Sports Exercise Leisure"
"All-inclusive Zumba®️","by All-inclusive Zumba online for everyoneicon4.7","Every Mon • Dec 8 · 1:55 PM EST","Sports Exercise Leisure"
"⚽️✨🌙@Gensevoort 🥅Master League (Advanced football Session- INVITE ONLY)","by ⚽️NYC Advanced/Elite Soccer Community by Hudson River FCicon4.9","Every Tue, Fri • Dec 9 · 8:10 PM EST","Sports Exercise Leisure"
"SKINNY JEANS CHALLENGE","by WEIGHT LOSS Challenge and Competition now ONLINEicon4.6","Every Mon, Wed, Thu • Dec 4 · 7:30 PM EST","Sports Exercise Leisure"
"Soccer Sunday @ Capelli","by The Soccer Groupicon5.0","Sun, Dec 7 · 9:45 AM EST","Sports Exercise Leisure"
"Thursday Evening 6ish Mile Run - (Reverse) K Bridge","by Woodside-Sunnyside Runnersicon4.9","Every two weeks on Thu • Dec 11 · 7:00 PM EST","Sports Exercise Leisure"
"Dec 25' Bar Baseball","by NYC Dodgeball and Other Social funsies!icon4.9","Mon, Dec 8 · 9:00 PM EST","Sports Exercise Leisure"
"Wednesday night newtown ⚽️  6:40pm with edm music","by The Boroughs of NYC Soccer Pickupicon4.7","Every Wed • Dec 10 · 6:50 PM EST","Sports Exercise Leisure"
"Energetic Elevation Guided Breathwork - Free Online Session","by Barrie Fitness Meetupicon4.8","Every Mon • Dec 8 · 6:00 PM EST","Sports Exercise Leisure"
"Special WEDNESDAY Evening Run @7PM - 3ish miles + SingleCut","by Astoria Runnersicon5.0","Every Wed • Dec 10 · 7:00 PM EST","Sports Exercise Leisure"
"Fitness, Healthy Weight Loss, and Wellness Support Group","by Healthy Lifestyle Weight Loss Fitness and Nutritionicon4.9","Every Tue • Dec 9 · 6:00 PM EST","Sports Exercise Leisure"
"Monday Speed Workout - McCarren Track","by The Most Informal Running Club Ever (TMIRCE):NYCicon4.9","Every Mon • Dec 8 · 7:00 PM EST","Sports Exercise Leisure"
"⚽️✨🌙@Gensevoort 🥅Master League (Advanced football Session- INVITE ONLY)","by ⚽️NYC Advanced/Elite Soccer Community by Hudson River FCicon4.9","Fri, Dec 5 · 8:10 PM EST","Sports Exercise Leisure"
"Thursday Evening 6ish Mile Run - LIC Route","by Woodside-Sunnyside Runnersicon4.9","Every two weeks on Thu • Dec 4 · 7:00 PM EST","Sports Exercise Leisure"
"Saturday 715am @ Murray Playground (7v7 x 2 fields 90 min)","by PS2G NYC-Coed Soccer Pickup for Charity -Play Soccer 2 Giveicon4.8","Every Sat • Dec 6 · 7:30 AM EST","Sports Exercise Leisure"
"Hatha Yoga for Beginners","by Hatha Yoga for Beginnersicon4.9","Every Fri • Dec 5 · 8:00 AM CST","Sports Exercise Leisure"
"$12 Sunday Evening Pickup","by Socceroof LIC (Pickup, Events and more...)icon4.3","Sun, Dec 7 · 9:30 PM EST","Sports Exercise Leisure"
"Queens Futsal Club Saturday Game - 9:00AM-11:00AM @Sunnyside","by Queens Futsal Clubicon4.9","Every Sat • Dec 6 · 9:00 AM EST","Sports Exercise Leisure"
"Saturday: 9v9- Pickup Soccer Game @Nike Field","by NEW YORK SOCCER GROUPicon4.8","Every Sat • Dec 6 · 1:30 PM EST","Sports Exercise Leisure"
"Sunday Morning Football - December 7th (Week 1)","by New York City Touch (American) Footballicon4.9","Sun, Dec 7 · 10:00 AM EST","Sports Exercise Leisure"
"BFC Saturday game 10:45 am TBC","by Brooklyn Football Clubicon5.0","Sat, Dec 6 · 10:45 AM EST","Sports Exercise Leisure"
"Living Lab: Memory, Culture, and the Meals That Raised Us","by North York Outdoor (NYO) Volleyball & Social Collectiveicon4.9","Every Sat • Dec 6 · 6:30 PM EST","Sports Exercise Leisure"
"📢📣friday competitive ballers ⚽️ 5:50pm 9v9 sternberg with big goals kot💥","by The Boroughs of NYC Soccer Pickupicon4.7","Every Fri • Dec 5 · 6:00 PM EST","Sports Exercise Leisure"
"📢📣Saturday competitive ballers ⚽️ 5:50pm bip with big goal 8v8 mini tournament","by The Boroughs of NYC Soccer Pickupicon4.7","Every Sat • Dec 6 · 5:50 PM EST","Sports Exercise Leisure"
"Sip, Spin & Socialize","by Allure Pole & Fitness","Sat, Dec 6 · 12:00 PM EST","Sports Exercise Leisure"
"The Day's Walk","by 365 Walkersicon4.6","Every Mon, Tue, Wed, Thu, Fri, Sat • Dec 5 · 7:00 AM EST","Sports Exercise Leisure"
"Saturday: 9v9- Pickup Soccer Game @Nike Field","by NYC-MANHATTAN-INTERNATIONAL-COED-SOCCERicon4.8","Every Sat • Jan 3, 2026 · 11:45 AM EST","Sports Exercise Leisure"
"run + brunch (bRUNch)  in Union Square","by The Most Informal Running Club Ever (TMIRCE):NYCicon4.9","Every Sat • Dec 6 · 9:30 AM EST","Sports Exercise Leisure"
"Saturday newtown ⚽️  3:00pm with edm music","by The Boroughs of NYC Soccer Pickupicon4.7","Every Sat • Dec 6 · 3:00 PM EST","Sports Exercise Leisure"
"⚽️✨🌙@Gansevoort 🥅Master League (Advanced football Session- INVITE ONLY)","by ⚽️NYC Advanced/Elite Soccer Community by Hudson River FCicon4.9","Every Tue • Dec 30 · 8:10 PM EST","Sports Exercise Leisure"
"Vegan Virtual Speed Dating Event with PETA","by Vegan-Poweredicon4.9","Sun, Dec 7 · 8:00 PM EST","Sports Exercise Leisure"
"3 vs 3 BASKETBALL","by New York Sports Meetup Groupicon4.5","Every Sun • Dec 7 · 3:30 PM EST","Sports Exercise Leisure"
"FREE Online Exercise Class","by Free Online Cardio & Toning Classicon4.9","Every Tue, Thu • Dec 9 · 12:00 PM EST","Sports Exercise Leisure"
"NYC Running Group","by New York Sports Meetup Groupicon4.5","Every Sat • Dec 6 · 8:30 AM EST","Sports Exercise Leisure"
"Morning Footy @ Sternberg","by New York Soccer Project's Pick-Upicon4.8","Every Mon, Wed, Fri • Dec 5 · 9:30 AM EST","Sports Exercise Leisure"
"Sandlot Day at Phebe's","by NYC Dodgeball and Other Social funsies!icon4.9","Sat, Dec 27 · 11:00 AM EST","Sports Exercise Leisure"
"Sunday Football @  Bay 8th Park","by NYC/Brooklyn Touch/Flag Footballicon4.9","Every Sun • Dec 7 · 8:30 AM EST","Sports Exercise Leisure"
"Wednesday Morning Waterfront 5K","by RUN LICicon4.9","Every Wed • Dec 10 · 7:00 AM EST","Sports Exercise Leisure"
"Dec 25' Beer Ball","by NYC Dodgeball and Other Social funsies!icon4.9","Mon, Dec 22 · 9:00 PM EST","Sports Exercise Leisure"
"Party Pace Morning Run/Walk @ 7:30AM","by Astoria Runnersicon5.0","Every Fri • Dec 5 · 7:30 AM EST","Sports Exercise Leisure"
"4 Mile Run in Rutherford - meet at Rutherford Train Station","by The North Jersey Road Runnersicon4.9","Every Tue • Dec 9 · 5:30 PM EST","Sports Exercise Leisure"
