"event_name","group","date","category"
"Speculative, Philosophical, and Experimental Writing Critique Group","by Austin Philosophy Discussion Group (APDG)icon4.7","Every Thu • Dec 4 · 8:00 PM CST","Science Education"
"Worthington Toastmasters Club","by Toastmasters Clubs of Columbus and Central Ohioicon4.8","Every two weeks on Thu • Dec 4 · 7:00 PM EST","Science Education"
"Fear of Public Speaking? We can help!! Trinity Toastmasters","by Toastmasters Toronto Downtown Core (DivA)icon4.6","Every Thu • Dec 11 · 12:00 PM EST","Science Education"
"Is it 🤔 correct?","by Initial Curiosityicon4.7","Sat, Dec 6 · 4:00 PM MST","Science Education"
"Life as an Introvert... (online)","by Introverts Unite!icon4.6","Wed, Dec 17 · 7:30 PM EST","Science Education"
"Improve Your Public Speaking with SickKids Toastmasters","by Toastmasters Toronto Downtown Core (DivA)icon4.6","Every Wed • Dec 10 · 12:00 PM EST","Science Education"
"FTI: Understanding the perspective of Trump Supporters","by The Free Thinker Instituteicon4.6","Tue, Dec 16 · 6:45 PM EST","Science Education"
"International Relations: Theories, Applications, and Current Events","by The Toronto Philosophy Meetupicon4.7","Every Sat • Dec 6 · 3:00 PM EST","Science Education"
"Virtual Discussion of The Seeds of Life","by Science Book Club for the Curiousicon4.8","Thu, Dec 11 · 5:30 PM EST","Science Education"
"End of year meeting","by Planner and bullet journal meetupicon4.8","Wed, Dec 17 · 6:00 PM CST","Science Education"
"FTI: Is a wealth tax a good or bad idea?","by The Free Thinker Instituteicon4.6","Tue, Dec 9 · 6:45 PM EST","Science Education"
"Fire, Cells, and Circuits: Sparks of Life on a Dead Planet","by Culture, AI, Science, and the Human Experience (CASHE)icon4.9","Wed, Dec 17 · 7:30 PM EST","Science Education"
"Plato - Laws, Book VII (Live Reading)","by The Chicago Philosophy Meetupicon4.8","Every Sat • Dec 6 · 3:00 PM CST","Science Education"
"Satisfaction or Jealousy","by Initial Curiosityicon4.7","Sat, Dec 20 · 4:00 PM MST","Science Education"
"Make ’Em Listen: Pacing & Transitions That Work","by Yoga for Your Voice – Public Speaking Practice Groupicon4.9","Tue, Dec 16 · 8:00 PM EST","Science Education"
"Club Meeting - Virtual Component","by PMIWDC#01 Toastmasters Club (McLean, VA)icon4.9","Monthly • Tue, Dec 16 · 7:00 PM EST","Science Education"
"HAT Forum - The Increasing Prevalence of Narcissism","by Humanist Association of Toronto (HAT) Meetup Groupicon4.6","Every Sat • Dec 6 · 11:00 AM EST","Science Education"
"Connecting Neuroscience, Psychology and Spirituality","by Connecting Neuroscience, Psychology and Spiritualityicon4.6","Monthly • Wed, Dec 17 · 5:00 PM CST","Science Education"
"Modern Astronomy Research - DATA DRIVEN!","by Houston Science Enthusiastsicon4.6","Fri, Dec 5 · 7:00 PM CST","Science Education"
"Meridian Toastmasters club meeting","by Toastmasters Toronto Downtown Core (DivA)icon4.6","Every Tue • Dec 9 · 12:05 PM EST","Science Education"
"The Magick is the Life: Premonition, Intuition, Telepathy","by The Virtual Academyicon4.7","Sun, Dec 7 · 5:00 PM EST","Science Education"
"Overcome Your Public Speaking Fear (In Person & Online) St Vladimir Toastmasters","by Toastmasters Toronto Downtown Core (DivA)icon4.6","Every Wed • Dec 10 · 7:00 PM EST","Science Education"
"Daily English Practice (Advanced Level)","by English Daily Meetup Groupicon4.6","Every Mon, Tue, Wed • Dec 8 · 6:00 PM EST","Science Education"
"🌟 Free 30-Min Travel Japanese Trial Class: Greetings & Ordering Food 🇯🇵🍣","by Learn Travel Japanese 🇯🇵 (East Coast Online Class)","Sun, Dec 7 · 7:00 PM EST","Science Education"
"Feel Your Words","by Yoga for Your Voice – Public Speaking Practice Groupicon4.9","Tue, Dec 9 · 11:00 AM EST","Science Education"
"Professional Speakers Toastmasters Club","by Toastmasters Clubs of Columbus and Central Ohioicon4.8","Every two weeks on Fri • Dec 12 · 7:00 PM EST","Science Education"
"Ebony Toastmasters Weekly Meeting","by Ebony Toastmastersicon4.8","Every Mon • Dec 8 · 6:45 PM EST","Science Education"
"PICASSO MUSEUM in Barcelona","by World Virtual Tours NY: FREE Archeology, Art, History Eventsicon4.5","Fri, Dec 5 · 3:00 PM EST","Science Education"
"Club Meeting - Virtual Component","by PMIWDC#01 Toastmasters Club (McLean, VA)icon4.9","Monthly • Tue, Dec 9 · 7:00 PM EST","Science Education"
"Bi-Weekly Discussion - The Future of MAGA and the GOP","by Philadelphia Political Agnosticsicon4.5","Sun, Dec 7 · 3:00 PM EST","Science Education"
"Locke & Key Toastmasters","by District 36 National Capital Area Toastmastersicon4.8","Monthly • Thu, Dec 11 · 12:30 PM EST","Science Education"
"Death Café of Greater Philadelphia","by Death Cafe Philadelphia and Greater Philadelphiaicon4.7","Mon, Dec 8 · 7:00 PM EST","Science Education"
"Beyond Believing - Humanist Association of Toronto","by Humanist Association of Toronto (HAT) Meetup Groupicon4.6","Monthly • Mon, Dec 8 · 7:00 PM EST","Science Education"
"Maple Leaf Toastmasters Club, Ontario, Canada","by Toastmasters Division C & E District 86 - Mississauga ONicon4.8","Every Thu • Dec 11 · 12:00 PM EST","Science Education"
"Aristotle's Dialectic - Book I - Live-Reading--European Style","by The Chicago Philosophy Meetupicon4.8","Every Tue • Dec 9 · 1:30 PM CST","Science Education"
"Secular Support Group","by Sunday Assembly Atlantaicon4.9","Thu, Dec 11 · 7:00 PM EST","Science Education"
"Gentle Decluttering - Declutter with a Pro Organizer","by Organize To Elevate: Space • Time • Mindseticon4.9","Mon, Dec 8 · 12:00 PM EST","Science Education"
"Goethe: Faust (Live Reading, prep for Either/Or)","by The Chicago Philosophy Meetupicon4.8","Fri, Dec 5 · 7:00 PM CST","Science Education"
"Division F - Woodbridge Toastmasters Club","by Div A: South Fairfax County - D29 Toastmastersicon4.8","Monthly • Thu, Dec 4 · 7:30 PM EST","Science Education"
"Creekbank Toastmasters Club, Mississauga, ON","by Toastmasters Division C & E District 86 - Mississauga ONicon4.8","Every Thu • Dec 11 · 12:00 PM EST","Science Education"
"Morning Magic: Start Your Day with Intention and Ease","by Organize To Elevate: Space • Time • Mindseticon4.9","Wed, Dec 10 · 6:45 AM EST","Science Education"
"Practice Public Speaking FREE Online - Table Topics Tuesday","by New York Practice Public Speaking Meetup Groupicon4.8","Every Tue • Dec 9 · 6:00 PM EST","Science Education"
"Toast of Severna Park Toastmasters Club","by Toastmasters District 18 Meetupicon4.8","Monthly • Tue, Dec 16 · 7:00 PM EST","Science Education"
"""Travels with Epicurus""","by The Free Thinker Instituteicon4.6","Every Fri • Dec 5 · 7:00 PM EST","Science Education"
"English Speaking Practice (Now Daily!)","by English Daily Meetup Groupicon4.6","Every Fri • Dec 5 · 9:00 PM EST","Science Education"
"Is it True That Your Past Defines You? Can You Break Free From It?","by Improve Communication and Make More Connectionsicon4.3","Tue, Dec 9 · 7:00 PM EST","Science Education"
"Stoicism 101: Week 9 - The Right Way to Receive and Return","by Stoic Philosophy Practice Groupicon4.7","Tue, Dec 9 · 7:30 PM EST","Science Education"
"Stoicism 101: Week 3 - Justice","by Stoic Philosophy Practice Groupicon4.7","Mon, Dec 8 · 7:30 PM EST","Science Education"
"Franklin Toastmasters Meetup","by Toastmasters Clubs of Columbus and Central Ohioicon4.8","Every Thu • Dec 11 · 7:00 AM EST","Science Education"
"GUILD (Guys Undergoing Improvement, Learning, and Development) Lab","by Sunday Assembly Atlantaicon4.9","Monthly • Sat, Dec 13 · 12:30 PM EST","Science Education"
"The Death of Socrates (Plato’s Phaedo)","by The Cambridge Platonistsicon4.9","Fri, Dec 5 · 8:00 PM EST","Science Education"
"Walter: A GenAI-Integrated Second Reader for Academic Assessment","by Academic Assessment & Analytics","Tue, Dec 9 · 7:00 PM EST","Science Education"
