"event_name","group","date","category"
"Tech & Business Networking NYC Manhattan","by Startups & Tech Events in NYicon4.2","Wed, Dec 17 · 6:00 PM EST","Technology"
"Flushing Tech Bi-Weekly Hackathon","by Flushing Techicon4.7","Every two weeks on Sat • Dec 13 · 4:00 PM EST","Technology"
"The Startup Pitch: Demo Showcase","by Startup Grind NYCicon4.7","Thu, Dec 18 · 5:30 PM EST","Technology"
"Holiday Tech Happy Hour by Startup Grind","by Startup Grind NYCicon4.7","Fri, Dec 19 · 5:00 PM EST","Technology"
"[In-person] Meet for SPEED","by New York UX Speed and Web Performance Groupicon4.8","Monthly • Thu, Dec 18 · 6:00 PM EST","Technology"
"Find a Cofounder / Help or Join a Tech Startup","by DC Startup CoFoundersicon4.7","Monthly • Thu, Dec 4 · 8:00 PM EST","Technology"
"Community Meetup #113","by The Things Network NYC Community Meetupicon4.9","Thu, Dec 4 · 5:30 PM EST","Technology"
"Tech Interview Workshop: Mock Interviews for Devs, PMs and other techies","by The Tech Lead NYC","Every Thu • Dec 11 · 6:00 PM EST","Technology"
"XR Motion Meetup!","by XR Motion Meetup!icon5.0","Monthly • Thu, Dec 11 · 8:00 PM EST","Technology"
"Tech Interview Workshop: Mock Interviews for Devs, PMs and other techies","by The Tech Lead NYC","Every Thu • Dec 18 · 6:00 PM EST","Technology"
"Fixer's Collective Manhattan Fixing Session","by Hack Manhattanicon4.7","Monthly • Wed, Dec 17 · 7:00 PM EST","Technology"
"Startup Pitch & Networking NYC Manhattan","by Startups & Tech Events in NYicon4.2","Mon, Dec 22 · 6:00 PM EST","Technology"
"Jersey City Bitcoin Meetup","by Jersey City Bitcoinicon4.3","Monthly • Thu, Dec 11 · 7:00 PM EST","Technology"
"A Gentle Guide to Linux","by Hack Manhattanicon4.7","Monthly • Sat, Dec 20 · 2:00 PM EST","Technology"
"Hybrid MI Python: Building Your First conda-forge Recipe","by Michigan Pythonicon4.7","Monthly • Thu, Dec 11 · 7:00 PM EST","Technology"
"NYOUG on-site AI meeting – RSVP!","by New York Oracle Users Group Meetupicon5.0","Tue, Dec 9 · 1:00 PM EST","Technology"
"Virtual game developer hangout","by Buffalo Game Spaceicon4.8","Thu, Dec 4 · 7:00 PM EST","Technology"
"The Drone Group online","by NJ Drone User Groupicon4.8","Monthly • Thu, Dec 11 · 7:30 PM EST","Technology"
"AWS HCLS Customer Meetup - NYC [use link in description to register!]","by AWS Healthcare and Life Sciences - Customer Meetups","Wed, Dec 10 · 1:30 PM EST","Technology"
"Your Print-on-Demand Profit Plan: Quick Steps, Big Wins","by The Work Life Revolution - Torontoicon4.0","Wed, Dec 10 · 3:00 PM EST","Technology"
"Latinos in Security","by NY Latinos in Security","Every Tue • Dec 9 · 6:30 PM EST","Technology"
"Online - Blockchain User Certification","by Blockchain Educators | NYCicon4.0","Monthly • Sun, Dec 7 · 10:00 AM EST","Technology"
"Makerspace Open Night","by Bergen Makerspaceicon4.8","Wed, Dec 10 · 5:00 PM EST","Technology"
"Bitcoin Open Discussion","by Teterboro Bitcoin Meetup Group","Monthly • Wed, Dec 17 · 7:00 PM EST","Technology"
"2023 Weekly Biohacker's Online Meetups - Join Our Discord + ZOOM Video Chat","by NYC Biohacking - Limitless Nootropics and Brainhackingicon4.9","Every Mon • Dec 8 · 8:00 PM EST","Technology"
"Software Book Club : 12 Factor App [processes]","by Maple Codeicon4.8","Wed, Dec 10 · 6:00 PM EST","Technology"
"Microsoft GitHub Copilot Masterclass: Learn AI-Powered Coding ","by Washington DC Business and Tech Industry Meetupicon4.2","Mon, Dec 15 · 10:00 AM EST","Technology"
"Python @ Summit Public Library","by Summit Library Technology Meetup Groupicon4.2","Every Thu • Dec 4 · 7:00 PM EST","Technology"
"Cybersecurity Made Simple: Identity, Threats & Firewall Essentials","by Maryland Events on  New Technology and Educationicon4.3","Wed, Dec 17 · 12:00 PM EST","Technology"
"Build a $5,000+ Online Income with AI — Beginner-Friendly Workshop","by The Work Life Revolution - Torontoicon4.0","Tue, Dec 16 · 7:00 PM EST","Technology"
"How This AI System Anyone Can Use Creates Big Daily Results","by The Work Life Revolution - Torontoicon4.0","Sun, Dec 7 · 2:00 PM EST","Technology"
"Get your AI on!","by IT Pros getting over the AI Humpicon4.4","Every Wed • Dec 10 · 7:00 PM EST","Technology"
"Le Wagon Demo Day: AI Software Dev., Data Analytics and Data Science & AI","by Le Wagon Montréal - Learn Tech Skillsicon4.5","Fri, Dec 12 · 6:00 PM EST","Technology"
"Machine Learning and Kaggle","by ConnectAITogethericon4.5","Every Sun • Dec 7 · 2:00 PM EST","Technology"
"Skills that Stick: Staying Competitive in the AI Era","by Tech in Motion: Washington DCicon4.5","Wed, Dec 10 · 2:00 PM EST","Technology"
"Rule Azure from the Terminal: The Power of AZ CLI","by Nashua CLOUD .NET User Groupicon4.6","Tue, Dec 16 · 6:00 PM EST","Technology"
"Open Learning - Maxwell's Equations - Partial Differential Equations Talk","by MoCo Makersicon4.7","Thu, Dec 11 · 7:00 PM EST","Technology"
"Data Nerd Festivus","by Power BI DCicon4.8","Thu, Dec 11 · 6:00 PM EST","Technology"
"December 2025 - Higher Education Power BI Office Hours","by Higher Education Power BI User Groupicon4.8","Wed, Dec 10 · 2:00 PM EST","Technology"
"Write the Docs East Coast Virtual Meetup","by Write the Docs East Coast Virtualicon4.8","Every two weeks on Fri • Dec 12 · 8:30 AM EST","Technology"
"VS Code Tools for Postgres","by Postgres Meetup for Allicon4.8","Thu, Dec 11 · 12:00 PM EST","Technology"
"Another Awesome Session","by M365 User Group of DCicon4.9","Monthly • Thu, Dec 11 · 6:30 PM EST","Technology"
"Monday office hour","by The Boston Python User Groupicon4.7","Every two weeks on Mon • Dec 8 · 12:00 PM EST","Technology"
"Central NJ Web Developers Meetup","by Central NJ Web Developers Meetupicon4.7","Monthly • Thu, Dec 11 · 7:00 PM EST","Technology"
